id,name,is_local,is_remote,open_source,license,pricing_model,price_note,accuracy_tier,languages_count,handwriting,math_formula,tables,layout_structure,best_for
internvl,InternVL (3 / 3.5),True,False,True,Apache-2.0 (InternVL3.5); MIT (InternVL3). Note: variants built on Qwen2.5/Qwen3 inherit those base-model licenses (mostly Apache-2.0).,free_oss,"Free, open-weight models (no usage fees). As of 2026-06 you pay only your own compute/GPU cost to self-host. No official first-party hosted API or per-page price; third-party inference providers (e.g. OpenRouter, SiliconFlow) host some sizes at their own token rates.",excellent,,limited,yes,yes,limited,"Self-hosted, privacy-sensitive document/chart/screenshot understanding and OCR-plus-reasoning where you want a single open-weight VLM to read text AND answer questions, extract key-value pairs, parse tables/forms, and ground regions — not for high-volume, low-cost plain-text page transcription."
keras-ocr,Keras-OCR,True,False,True,MIT,free_oss,"Free and open source (MIT). No fees, no API, no quotas. Only cost is local compute (GPU recommended for throughput). As of 2026-06.",fair,1,no,no,no,no,"Self-hosted, free English scene/printed-text detection+recognition where you want word-level bounding boxes and the option to fine-tune the detector or recognizer end-to-end on your own data, and where case/punctuation insensitivity and Latin-only output are acceptable."
kraken,Kraken,True,False,True,Apache-2.0,free_oss,"Free and open source (Apache-2.0); no license fee or per-page cost as of 2026-06. The engine, training pipeline, and the freely-licensed model repository are all free. Only real cost is self-provided compute: a Nvidia GPU with ~8GB+ VRAM is recommended for training generalized models from scratch, while fine-tuning and inference run on CPU (much slower). There is no official paid/hosted Kraken API; the closest ""service"" is a self-hosted or institution-hosted eScriptorium instance, which is itself free OSS.",good,,yes,no,limited,yes,"Digitizing historical manuscripts and early printed books, and non-Latin / low-resource scripts (Arabic, Hebrew, Syriac, Greek, Indic, Fraktur), where you can train or fine-tune a custom model on your material. The default engine for digital-humanities and library/archive HTR workflows, especially via eScriptorium."
llama-3-2-vision,Llama 3.2 Vision (11B / 90B),True,True,True,"LLAMA-3.2-COMMUNITY (open-weight, not OSI-approved; commercial use allowed, &gt;700M MAU clause)",mixed,"Weights are free to download and self-host (compute is your cost). Hosted API (as of 2026-06): 90B Vision Instruct ~$0.72/1M blended (input and output both ~$0.72/1M) on AWS Bedrock, which is currently the main tracked first-party-ecosystem provider on Artificial Analysis; 11B Vision is cheaper (roughly $0.06-$0.35/1M depending on provider, e.g. ~$0.06/1M on AWS Bedrock, ~$0.18/1M historically on Groq). NOTE: Groq deprecated/decommissioned its Llama 3.2 Vision (11B/90B) preview endpoints on 2025-04-07 in favor of Llama 4 Scout, so Groq no longer serves these models. Prices are general LLM token prices; image tokens are billed within the same token budget. No per-page OCR pricing.",good,8,limited,limited,yes,limited,"Teams that want an open-weight, self-hostable multimodal model for document understanding, chart/table reasoning, and English document-to-Markdown OCR where layout reasoning and Q&A matter more than character-perfect transcription — and who want to avoid sending data to a third party."
marker,Marker (Datalab),True,True,True,GPL-3.0-or-later (code); model weights under modified AI-Pubs OpenRAIL-M (free for research/personal/startups under $2M),mixed,"As of 2026-06: Self-hosted is free (GPLv3 code; weights free under the OpenRAIL-M revenue threshold). Hosted Datalab API: $5 free credits on signup; standard Marker/OCR conversion bills roughly $6 per 1,000 pages, LLM-mode structured extraction $25 per 1,000 pages for documents over 50 pages (and ~$6/1,000 pages with page_schema); spreadsheets billed by cells (simple mode capped at $0.60/sheet). EU processing adds +25%. Exact per-processor rates live on datalab.to/pricing and shift over time.",excellent,90,yes,yes,yes,yes,"Converting whole PDFs and office/EPUB documents to clean Markdown/JSON/HTML at scale, preserving reading order, tables, equations (LaTeX), forms and references; strong for RAG ingestion pipelines where layout fidelity matters more than per-character OCR of a single image."
mineru,MinerU,True,True,True,"MinerU Open Source License (Apache-2.0 based, with additional conditions; relicensed from AGPL-3.0 as of v3.1.0)",freemium,"Self-hosted OSS is free. Hosted mineru.net API is in free beta (as of 2026-06): each account gets a high-priority parsing quota of 2000 pages/day, with reduced priority beyond that and no hard daily page cap; submit-task rate limit 300 req/min and up to 10,000 files/day (max 100 HTML). No published per-page list price; enterprise/custom limits via opendatalab@pjlab.org.cn. Third-party resellers (e.g. 302.AI) offer pay-as-you-go wrappers.",excellent,109,limited,yes,yes,yes,"Converting complex PDFs, scanned documents, and Office files into clean, reading-order LLM/RAG-ready Markdown and structured JSON at scale — especially multilingual and math/table/chart-heavy scientific or business documents — either fully self-hosted (privacy) or via a free-beta hosted API."
minicpm-v,MiniCPM-V (4.5 / 4.6),True,True,True,Apache-2.0,free_oss,"Free open-weight model (Apache-2.0) for self-hosting; no per-token cost when run locally. As of 2026-06, OpenBMB also offers a hosted OpenAI-compatible API at https://api.modelbest.cn/v1 (released 2026-05-17) with a public free API key for MiniCPM-V 4.6 (models MiniCPM-V-4.6-Instruct and MiniCPM-V-4.6-Thinking). Paid-tier pricing and rate limits for the hosted API are not publicly documented.",excellent,30,yes,yes,yes,yes,"On-device / privacy-sensitive document OCR and document understanding where you want a single open-weight model that handles high-resolution any-aspect images, tables, math, handwriting, charts, and even video — without per-page API costs. Strong choice when you need GPT-4o-class OCR locally on a laptop, a single mid-range GPU, or even a phone (4.6)."
mmocr,MMOCR,True,False,True,Apache-2.0,free_oss,"Free and open source (Apache-2.0). No license, subscription, or per-page fees. As of 2026-06, the only cost is your own compute/GPU. No hosted/managed API is offered by the project.",good,,limited,no,no,limited,"Researchers and ML engineers who want to train, fine-tune, benchmark, or compose state-of-the-art scene text detection / recognition / spotting / KIE models under a unified, modular, config-driven PyTorch framework - rather than teams wanting a turnkey document OCR product."
nanonets,Nanonets,True,True,True,"mixed (proprietary platform; open models: Nanonets-OCR-s & OCR2-3B under Qwen Research License (non-commercial), OCR2-1.5B-exp Apache-2.0)",freemium,"As of 2026-06: Sign-up gives $200 prepaid credits (no card, credits never expire). Pay-as-you-go per block run by complexity: ~$0.02/run simple (format/route/export), ~$0.10/run standard AI (classify/validate), ~$0.30/run complex AI (extraction/genAI). A typical invoice workflow runs 4-6 blocks ~under $2/doc end-to-end. Growth (up to ~40% volume discount) and Enterprise are custom-quote. Separate free DocStrange cloud extraction tier: ~10,000 docs/month. Open-weight models on HuggingFace are free to self-host.",excellent,12,yes,yes,yes,yes,"Teams needing no-code/low-code IDP for invoices, receipts, IDs, bank statements and AP automation with prebuilt + trainable custom models, confidence-scored field extraction, and many integrations; developers wanting LLM-ready markdown via API or self-hosted open VLM OCR models."
nougat,Nougat,True,False,True,MIT (code); model weights CC-BY-NC-4.0 (non-commercial),free_oss,"Free and open source (MIT code). No hosted/paid API offered by Meta. Costs are self-hosted compute only (GPU recommended). As of 2026-06, weights remain CC-BY-NC-4.0, so commercial use of the released weights is restricted by license.",good,,no,yes,yes,limited,"Converting born-digital or scanned English scientific/academic PDFs into Mathpix-Markdown (.mmd) with inline LaTeX math and tables — e.g. building markdown/LaTeX corpora from papers for RAG, search, or ML training where preserving equations matters."
ocr4all,OCR4all,True,False,True,MIT,free_oss,"Free and open-source under MIT license. No subscriptions, no paywalled features, no usage fees. Self-hosted, so the only cost is your own compute/hardware. (As of 2026-06.)",excellent,,yes,no,limited,yes,"Libraries, archives, and digital-humanities researchers doing OCR/HTR of historical printings and manuscripts (15th–19th c.), especially when iterative model training and manual layout/text correction (via the LAREX editor) are needed for highest accuracy on challenging material — all on-premises and free."
ocrmac,ocrmac (Apple Vision),True,False,True,MIT,free_oss,"Free and open-source (MIT). No usage fees of any kind — OCR runs on-device via Apple's Vision framework, which ships free with macOS. Only cost is owning a Mac. As of 2026-06.",good,18,limited,no,no,limited,"Fast, free, fully on-device OCR of printed text from images on macOS — batch image-to-text pipelines, screenshot/photo text extraction, privacy-sensitive workloads where data must not leave the machine, and developers already on Apple Silicon who want word/line text plus confidence and bounding boxes without external services."
ocropus,OCRopus / ocropy,True,False,True,Apache-2.0,free_oss,"Free and open source (Apache-2.0). No paid tier, no hosted service. Self-hosted only; you pay only for your own compute. As of 2026-06.",good,,limited,no,no,limited,"Historical and early-printed-book OCR pipelines where you train a custom line model per typeface/script, and academic/digital-humanities work that needs a transparent, fully local, trainable LSTM line recognizer. In practice, new projects should use its successors (Kraken, Calamari, OCR4all)."
olmocr,olmOCR,True,False,True,Apache-2.0,free_oss,"Free, open-source (Apache-2.0). No license/API fee. Self-hosted compute cost only: Ai2 reports ~$190-200 per 1,000,000 PDF pages (roughly $0.0002/page; ""10,000 pages for less than $2"" on a single H100 with FP8), about 1/32 the cost of GPT-4o batch API. As-of 2026-06. GPU rental/electricity is the real cost driver; there is no official hosted endpoint.",excellent,1,yes,yes,yes,yes,"Large-scale, cost-efficient linearization of English PDFs (academic papers, historical scans, legal docs, multi-column reports, math/tables) into clean Markdown for LLM/RAG training corpora and document pipelines — when you have GPUs and want full local control and an open license."
onnxtr,OnnxTR,True,False,True,Apache-2.0,free_oss,"Free and open-source (Apache-2.0). No license fee, no API/usage cost — runs entirely on your own CPU/GPU. Pretrained ONNX weights are downloaded free from the Hugging Face Hub. Only cost is your own compute. As of 2026-06.",good,100,no,no,no,limited,"Production OCR on printed/scanned documents where you want docTR's quality but a lightweight, TensorFlow/PyTorch-free install with fast CPU inference (8-bit quantization, OpenVINO) or simple GPU/CoreML deployment — e.g. embedding OCR in containers, edge/CPU servers, or as a Docling OCR backend."
owocr,owocr,True,True,True,GPL-3.0-only,free_oss,"The owocr software is free and open-source (GPL-3.0); no license fee. Local engines (Apple Vision/Live Text, WinRT OCR, OneOCR, Chrome Screen AI, EasyOCR, RapidOCR, Manga OCR, meikiocr, NDLOCR-Lite) run at zero cost. Cloud backends bill on the user's own provider account if used: Google Vision and Azure Document Intelligence are pay-per-page; OCRSpace has a free tier plus paid plans; Google Lens and Bing are accessed without an API key. As of 2026-06, owocr itself adds no markup.",varies,,limited,no,no,limited,"Real-time, on-screen Japanese text capture for language learning, manga, visual novels, and anime — and more broadly as a single Python/CLI facade that unifies native OS OCR (Apple Vision, Windows OCR/OneOCR), local libraries (EasyOCR, RapidOCR, Manga OCR), and cloud engines (Google Lens/Vision, Bing, Azure, OCRSpace) behind one interface."
paddleocr,PaddleOCR (PP-OCRv5 / PaddleOCR-VL),True,True,True,Apache-2.0,free_oss,"The toolkit and all models (PP-OCRv5/v6, PaddleOCR-VL, PP-StructureV3) are free and Apache-2.0 — self-hosting cost is just your own compute. Optional third-party hosted inference: e.g. Novita lists PaddleOCR-VL at ~$0.02 per 1M input and ~$0.02 per 1M output tokens (as of 2026-06); WaveSpeedAI ~ $0.005 per image. Baidu AI Studio / Qianfan also exposes a hosted PaddleOCR-VL API (Chinese-cloud pricing, region-dependent). No vendor-run free tier is documented for the hosted APIs; the free path is running the OSS models yourself.",excellent,109,yes,yes,yes,yes,"High-accuracy multilingual document parsing and OCR where you want full control and zero per-page fees: self-hosted pipelines for printed/scene/handwritten text, tables, formulas and charts, with a choice between an ultra-lightweight CPU/edge pipeline (PP-OCRv5/v6) and a SOTA VLM (PaddleOCR-VL) for complex documents and LLM ingestion."
paddleocr-ppstructure,PaddleOCR 3.0 / PP-StructureV3,True,True,True,Apache-2.0,free_oss,"Software is free (Apache-2.0) to self-host; you pay only your own compute (GPU/CPU). Baidu AI Studio also offers a hosted PP-StructureV3 / PaddleOCR-VL API with a free community tier documented at up to ~20,000 pages/day; AI Studio paid/enterprise serving is credit/quote-based, not a published fixed per-page rate. As of 2026-06.",excellent,109,limited,yes,yes,yes,"Self-hosted, free, high-accuracy parsing of complex multi-column PDFs/scans into Markdown/JSON with tables, formulas, charts and correct reading order — especially when Chinese/English or 100+ languages and on-prem privacy matter."
pix2tex-latex-ocr,pix2tex / LaTeX-OCR,True,False,True,MIT,free_oss,"Free and open source (MIT). No usage fees, no API costs. Pretrained model checkpoints download automatically on first run. Only cost is your own compute. As of 2026-06.",good,,limited,yes,no,no,"Turning images/screenshots of a single printed mathematical equation into LaTeX, locally and for free — e.g. capturing formulas from PDFs/papers/websites into editable LaTeX via the screenshot GUI or batch via the Python API."
qwen-vl,Qwen2-VL / Qwen2.5-VL / Qwen3-VL,True,True,True,Apache-2.0 (open weights); DashScope API is proprietary service,mixed,"Open weights are free to self-host. Via Alibaba Cloud Model Studio / DashScope (International/Singapore endpoint, as of 2026-06): dedicated qwen-vl-ocr $0.07/M input, $0.16/M output tokens; qwen-vl-max $0.8/M in, $3.2/M out; qwen-vl-plus $0.21/M in, $0.63/M out; qwen3-vl-plus tiered $0.2-$0.6/M in, $1.6-$4.8/M out by context length; qwen3-vl-flash $0.05-$0.12/M in, $0.4-$0.96/M out. Images are billed by token count (roughly 256-1500+ tokens/image depending on resolution; qwen-vl-ocr caps at 30,000 tokens/image). China-mainland endpoint pricing differs (often lower).",excellent,32,yes,yes,yes,yes,"Complex multilingual document parsing where layout, tables, formulas, charts, handwriting and structured extraction matter in one model — historical/scanned docs, receipts/forms (key-value), academic papers (LaTeX math), and web/mobile screenshots. Good when you want one self-hostable open-weight model instead of a classical OCR + layout pipeline, or a cheap hosted OCR endpoint (qwen-vl-ocr)."
rapidocr,RapidOCR,True,False,True,Apache-2.0,free_oss,"Free and open-source (Apache-2.0). No usage fees, no API, no subscription. Only cost is your own compute. As of June 2026.",good,12,limited,no,limited,limited,"Fast, fully offline, privacy-preserving multilingual OCR (especially Chinese/CJK + English) embedded into applications across Python, C++, Java, C#, Android, iOS, and .NET without a Python/Paddle dependency. Ideal when you want PaddleOCR's accuracy but need lightweight ONNX Runtime deployment, edge/mobile inference, or non-Python integration."
surya,Surya OCR,True,True,True,Apache-2.0 (code); modified AI Pubs Open RAIL-M (weights),freemium,"As of 2026-06: OSS self-host is free under the weights license (research/personal/startups under the funding+revenue threshold; commercial self-host needs a paid license — contact sales). Hosted Datalab API is pay-as-you-go priced per 1,000 pages per processor (OCR/Marker tiers roughly $1-4 per 1,000 pages; higher 'extract' tiers up to ~$25/1,000 pages for large docs), with $5 in free signup credits. EU processing +25%; data-retention or startup discounts of 25-33% available.",good,91,limited,yes,yes,yes,"Self-hosted, multilingual document OCR with built-in layout, reading-order, table, and inline-math recognition — ideal when you want a small (650M) open model that runs on a single GPU or even a MacBook and produces structured JSON/HTML/Markdown output."
table-transformer,Microsoft Table Transformer (TATR),True,False,True,MIT,free_oss,"Free and open-source (MIT). No service/API fees; you run the models yourself, so the only cost is your own compute/GPU. Model weights download free from Hugging Face. As of 2026-06.",excellent,,no,no,yes,yes,"Detecting tables and recovering their cell/row/column structure from PDFs and document images (especially scientific and financial reports), as a specialized stage in a document-extraction pipeline rather than a general OCR engine."
tabula-py,Tabula / tabula-py,True,False,True,MIT,free_oss,"Free and open source (MIT). No usage fees, no API, no quotas. As of 2026-06. Only ""cost"" is a local JVM (Java 8+) install.",varies,,no,no,yes,limited,"Extracting tabular data from text-based (digitally generated) PDFs into pandas DataFrames or CSV/TSV/JSON — financial reports, government data dumps, scientific tables — in a scripted Python pipeline, free and on-prem."
tesseract,Tesseract (pytesseract / tesserocr),True,False,True,Apache-2.0,free_oss,"Free and open source (Apache-2.0). No usage fees, no API costs, no quotas. As of 2026-06, the only cost is your own compute. Python wrappers (pytesseract, tesserocr) are also free/OSS.",good,116,no,no,limited,limited,"Local, free, offline OCR of clean printed/typed documents in many languages where data privacy or zero cost matters. A solid baseline/default for digitizing books, scanned PDFs, and forms; good when you control preprocessing. Not the right tool for handwriting, math, complex multi-column layouts, or table-structure extraction."
texify-surya,Texify / Surya (LaTeX OCR),True,True,True,"Apache-2.0 (Surya code); model weights under a modified AI-Pubs OpenRAIL-M (free for research, personal use, and orgs under $5M funding/revenue). Legacy texify: GPL-3.0 code, CC-BY-SA-4.0 weights.",free_tier_then_paid,"Self-hosted OSS is free (subject to model license). Datalab hosted API is per-1,000-pages billing. Free monthly allowance ~$20/mo on a work email, ~$10/mo on a personal email, plus ~$5 free credits on card verification; no credit card required to start. Team plan is a fixed monthly fee (~$400 included usage) metered against the same rate card with pay-as-you-go overage. (As of 2026-06; check datalab.to/pricing for current per-processor rates.)",excellent,91,limited,yes,yes,yes,"Converting math/equation images and PDFs to MathJax/KaTeX-renderable LaTeX + Markdown, locally and free, with full-page multilingual OCR, layout, and table extraction as part of the same pipeline; optionally offloaded to Datalab's hosted API for scale."
trocr,TrOCR,True,False,True,MIT,free_oss,"Free and open-source (model weights + Transformers library). No usage fees. As of 2026-06, the only cost is your own compute (CPU/GPU). Weights and code are MIT-licensed via the microsoft/unilm repo and Hugging Face Hub.",excellent,,yes,no,no,no,"Recognizing the text content of pre-cropped single text-line images (printed or handwritten), especially English documents where you already have a line/word detector and want high-accuracy transformer-based recognition that runs fully offline."
trocr-handwritten,TrOCR (handwritten),True,False,True,MIT (source/base only),free_oss,"Free, open-source model weights (MIT license). No usage fees. Cost is only your own compute/GPU. As of 2026-06, weights are downloaded from Hugging Face at no charge (base ~334M params, large ~558M params, small ~62M params). If served behind the Hugging Face Inference Providers/Endpoints, you pay that platform's compute rates, but the model itself is free.",excellent,,yes,no,no,no,"High-accuracy recognition of English handwritten (cursive included) single text-line images when you already have line/word segmentation and want a free, self-hostable, MIT-licensed model. Ideal as the recognition stage in a custom handwriting pipeline (e.g. after a detector like CRAFT or a layout/line segmenter)."
unstructured-io,Unstructured.io API,True,True,True,Apache-2.0 (core OSS library); the hosted Serverless API and Platform are proprietary SaaS,free_tier_then_paid,"As of 2026-06: hosted Serverless API is pay-as-you-go at $0.03/page (flat, regardless of file type or pipeline). Free plan includes 15,000 free pages with no expiration and full feature access. Business/Platform tier is custom (contact sales) and adds multi-user accounts and dedicated-instance/VPC deployment. The core `unstructured` Python library is free/open-source (Apache-2.0) and self-hostable at no cost.",good,,limited,yes,yes,yes,"RAG/LLM ingestion pipelines that need to turn heterogeneous documents (PDFs, scans, images, Office files, email, HTML) into clean, chunk-ready structured elements with layout, tables, and metadata — rather than pure raw-text OCR. Strong when you want one ETL layer feeding a vector store."
winocr,winocr (Windows OCR),True,False,True,MIT (the Python binding); underlying Windows.Media.Ocr engine is proprietary and bundled with Windows,free_oss,"Free. The winocr Python package is MIT-licensed; the underlying Windows OCR engine ships with Windows 10/11 at no extra cost (requires a Windows OS license). No per-page or API fees, no metering. OCR language packs are free to install via Windows Settings. As of 2026-06.",fair,25,no,no,no,limited,"Windows-only pipelines needing free, fully offline OCR of clean printed text (English/European Latin scripts, plus Japanese/Chinese/Korean) with zero per-page cost and no external dependencies. Good for batch local processing and for serving on-prem OCR to other machines via the bundled winocr_serve REST endpoint."
abbyy-cloud-ocr,ABBYY Cloud OCR SDK / Document AI API (FineReader engine),False,True,False,proprietary,free_tier_then_paid,"No public list pricing (as of 2026-06). Legacy Cloud OCR SDK (end-of-sale since 1 Jan 2023, no new customers): pre-purchased annual 'pages-limited' subscription, quote-based; third-party estimates put ABBYY per-page OCR around $0.02-$0.10/page depending on volume. Newer Document AI API (launched 15 Apr 2025, technical preview): self-service 'predictable pay-as-you-go' by document/credits, free sign-up with sandbox and trial credits, no credit card to start. Exact per-document price not published; contact docAI@abbyy.com.",excellent,200,limited,no,yes,yes,"High-accuracy enterprise document conversion at scale (image-only PDF/scans to searchable PDF, DOCX/XLSX, structured data) in 200+ languages, where a mature, compliance-friendly commercial vendor and field/key-value extraction (invoices, IDs, business cards, receipts) matter more than open-source/local control."
adobe-pdf-extract,Adobe PDF Extract API (PDF Services),False,True,False,proprietary,free_tier_then_paid,"As of 2026-06: Free tier = 500 Document Transactions/month. Paid is annual subscription only (no per-call pay-as-you-go). Published annual tiers: 25,000 transactions = $1,875; 75,000 = $5,250; 250,000 ≈ $16,250; 500,000 = $30,000; 750,000 = $41,250 — i.e. roughly $0.055–$0.075 per Document Transaction depending on volume. For Extract PDF / PDF-to-Markdown, 1 Document Transaction covers up to 5 pages (rounded up per 5 pages), so a 5-page scan = 1 transaction. Larger enterprise/volume contracts via Adobe sales.",good,,no,no,yes,yes,"Extracting clean structured content (text blocks, headings, reading order, tables to CSV/XLSX, figures) with bounding boxes from native or scanned business PDFs at moderate volume — especially RAG/LLM ingestion pipelines and table-heavy documents where layout fidelity matters more than non-English or math/handwriting support."
aws-rekognition-detecttext,AWS Rekognition DetectText,False,True,False,proprietary,free_tier_then_paid,"As of 2026-06 (US East, Group 2 APIs tier that includes DetectText): tiered per-image — $0.0010/image for the first 1M images/month, $0.0008/image for the next 4M, $0.0006/image for the next 30M, and $0.00025/image beyond 35M images/month. I.e. roughly $1.00 per 1,000 images at low volume. Pricing varies slightly by region. AWS Free Tier: 1,000 images/month free for the first 12 months from account creation (shared across Group 1 and Group 2 image APIs). Note: as of July 15, 2025, new accounts instead get up to $200 in AWS Free Tier credits usable across eligible services for 6 months.",good,8,no,no,no,limited,"Reading short bursts of text from real-world photos and scenes — street signs, storefronts, product labels, license plates, T-shirts, screenshots, social/meme images — where you also want per-word/per-line bounding boxes and confidence scores. Good when you are already in the AWS ecosystem and need scene-text, not document parsing."
aws-textract,AWS Textract,False,True,False,proprietary,pay_as_you_go,"As of 2026-06 (US East/US West Oregon, on-demand, per 1,000 pages, tier ""first 1M pages/month""): Detect Document Text (raw OCR) $1.50; Tables $15.00; Forms (key-value) $50.00; Queries $15.00; Forms+Tables+Queries combined $70.00; Layout free when used with Tables; Signatures $3.50 (free add-on when used with another Analyze feature); Analyze Expense (invoices/receipts) $10.00; Analyze ID $25.00; Custom Queries $25.00; Analyze Lending $70.00. Volume discounts above 1M pages/month, e.g. Detect Document Text drops to $0.60, Tables $10.00, Forms $40.00, Analyze Expense $8.00, Analyze ID $10.00. No minimum fee or upfront commitment; pay only for what you process.",good,6,limited,no,yes,yes,"Teams already on AWS that need scalable, managed extraction of structured data (tables, form key-value pairs, invoices, receipts, US IDs) from English/Western-European documents, with bounding boxes and confidence scores for downstream validation — rather than just raw multilingual text dumps."
